sep=\t
Module Resource Usage Distribution Estimates
Generated at: May 08, 2024 09:47:12

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
test_module:test_module                                     	    4269(0)	     603(0)	    9181(0)	    32(0)	    12(0)	
 +test_uartrx:test_uart_rx                                  	     28(28)	       0(0)	     60(60)	     0(0)	     0(0)	
 +test_uartpacket:uart_packetizer                           	   102(102)	       0(0)	     95(95)	     0(0)	     0(0)	
 +test_ppd_fifo:pp_wr_fifo                                  	      22(0)	      30(0)	      16(0)	     5(0)	     0(0)	
  +u_efx_fifo_top:efx_fifo_top_b4d694ab8de34d2793d2b2bb63f36b9a_renamed_due_excessive_length_1	      22(2)	      30(0)	      16(0)	     5(0)	     0(0)	
   +xefx_fifo_ram:efx_fifo_ram_b4d694ab8de34d2793d2b2bb63f36b9a(WDATA_WIDTH=48,RDATA_WIDTH=48,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       4(4)	     5(5)	     0(0)	
   +xefx_fifo_ctl:efx_fifo_ctl_b4d694ab8de34d2793d2b2bb63f36b9a(PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=128,PROG_FULL_NEGATE=128,PROG_EMPTY_NEGATE=2)	     20(20)	     30(30)	     12(12)	     0(0)	     0(0)	
 +pp:periplex                                               	    4005(0)	     543(0)	    8912(0)	    22(0)	    12(0)	
  +ppd1:pp_decoder                                          	     71(71)	       0(0)	 5172(5172)	     0(0)	     0(0)	
  +uart_grp:uart_grp_ctrl                                   	   360(360)	       0(0)	   464(464)	     0(0)	     4(4)	
  +GPIO_grp:gpio_grp_ctrl                                   	   376(376)	       0(0)	   477(477)	     0(0)	     4(4)	
  +PWM_GRP:pwm_grp_ctrl                                     	   771(771)	       0(0)	 1106(1106)	     0(0)	     4(4)	
  +UART_PERIPHERAL[0].uartperipheral:uart_peripheral(UART_FIFO_DEPTH=16)	     541(0)	      87(0)	     698(0)	     5(0)	     0(0)	
   +dt_module:dt_top                                        	     160(0)	      27(0)	      91(0)	     3(0)	     0(0)	
    +dt_fifo_51:dt_fifo                                     	      94(0)	      27(0)	      43(0)	     3(0)	     0(0)	
     +u_efx_fifo_top:efx_fifo_top_378d79e1dcb040219a2787531019ea5f_renamed_due_excessive_length_2	      94(4)	      27(0)	      43(0)	     3(0)	     0(0)	
      +xefx_fifo_ram:efx_fifo_ram_378d79e1dcb040219a2787531019ea5f(WR_DEPTH=256,RD_DEPTH=256,WDATA_WIDTH=51,RDATA_WIDTH=51,WADDR_WIDTH=8,RADDR_WIDTH=8,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     3(3)	     0(0)	
      +xefx_fifo_ctl:efx_fifo_ctl_378d79e1dcb040219a2787531019ea5f(SYNC_CLK=0,WR_DEPTH=256,WADDR_WIDTH=8,RADDR_WIDTH=8,PROGRAMMABLE_FULL="STATIC_SINGLE",PROG_FULL_ASSERT=128,PROG_FULL_NEGATE=128,PROG_EMPTY_NEGATE=2)	     90(54)	     27(27)	     43(11)	     0(0)	     0(0)	
       +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_378d79e1dcb040219a2787531019ea5f(WIDTH=9)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	
       +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_378d79e1dcb040219a2787531019ea5f(STAGE=2,WIDTH=9)	     18(18)	       0(0)	       0(0)	     0(0)	     0(0)	
       +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=9)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=8)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_378d79e1dcb040219a2787531019ea5f(WIDTH=7)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	
